iter	Passed	Remaining
0	3	3676
1	7	3546
2	10	3540
3	14	3568
4	18	3641
5	21	3618
6	25	3603
7	29	3623
8	33	3649
9	37	3702
10	41	3688
11	44	3680
12	48	3671
13	53	3759
14	56	3736
15	60	3727
16	64	3710
17	69	3772
18	72	3759
19	76	3745
20	80	3729
21	84	3748
22	87	3731
23	92	3747
24	96	3759
25	106	4003
26	111	4031
27	116	4055
28	120	4034
29	124	4016
30	127	3999
31	132	4017
32	136	4008
33	140	3993
34	144	3976
35	148	3989
36	152	3975
37	156	3959
38	159	3942
39	164	3949
40	168	3932
41	171	3914
42	175	3904
43	179	3898
44	183	3884
45	186	3872
46	190	3859
47	194	3851
48	198	3844
49	201	3835
50	205	3824
51	209	3813
52	213	3811
53	216	3800
54	220	3789
55	224	3781
56	228	3785
57	232	3777
58	236	3772
59	240	3766
60	244	3771
61	249	3772
62	253	3771
63	257	3767
64	262	3778
65	266	3773
66	271	3780
67	276	3785
68	280	3779
69	284	3776
70	288	3775
71	293	3783
72	297	3779
73	301	3774
74	305	3772
75	310	3771
76	314	3765
77	317	3758
78	322	3754
79	326	3756
80	330	3748
81	334	3740
82	338	3738
83	342	3734
84	346	3728
85	350	3721
86	354	3719
87	358	3713
88	361	3704
89	365	3694
90	368	3684
91	373	3681
92	376	3671
93	379	3659
94	383	3651
95	386	3643
96	390	3639
97	394	3632
98	398	3623
99	403	3632
100	407	3630
101	411	3620
102	414	3609
103	417	3600
104	422	3598
105	425	3588
106	429	3583
107	433	3578
108	437	3578
109	441	3568
110	444	3560
111	447	3551
112	452	3555
113	456	3550
114	460	3545
115	464	3537
116	469	3546
117	473	3539
118	476	3531
119	481	3528
120	487	3540
121	491	3538
122	495	3529
123	498	3524
124	503	3526
125	507	3523
126	511	3515
127	516	3518
128	519	3510
129	523	3505
130	527	3498
131	531	3497
132	535	3492
133	539	3486
134	542	3478
135	548	3484
136	552	3478
137	555	3471
138	560	3471
139	565	3473
140	569	3468
141	573	3462
142	577	3463
143	581	3459
144	585	3454
145	590	3451
146	595	3453
147	599	3449
148	602	3442
149	607	3440
150	611	3436
151	614	3430
152	618	3424
153	622	3419
154	627	3419
155	630	3412
156	634	3407
157	638	3400
158	642	3399
159	646	3392
160	649	3386
161	653	3381
162	658	3379
163	661	3372
164	665	3368
165	669	3362
166	675	3367
167	678	3360
168	682	3354
169	686	3352
170	692	3356
171	696	3352
172	722	3452
173	730	3466
174	741	3494
175	749	3510
176	764	3556
177	769	3553
178	774	3551
179	777	3543
180	781	3536
181	791	3556
182	797	3559
183	801	3555
184	805	3549
185	809	3543
186	813	3534
187	834	3604
188	839	3601
189	843	3596
190	848	3594
191	867	3652
192	872	3646
193	876	3640
194	881	3640
195	885	3633
196	889	3627
197	894	3623
198	899	3621
199	904	3616
200	909	3613
201	913	3609
202	918	3604
203	921	3596
204	926	3592
205	944	3638
206	948	3634
207	952	3627
208	957	3625
209	964	3626
210	968	3621
211	972	3614
212	979	3619
213	983	3613
214	987	3604
215	993	3607
216	997	3599
217	1001	3591
218	1005	3587
219	1010	3582
220	1015	3578
221	1019	3572
222	1025	3573
223	1029	3567
224	1033	3559
225	1037	3554
226	1042	3550
227	1046	3541
228	1049	3533
229	1053	3527
230	1059	3525
231	1062	3517
232	1066	3509
233	1070	3504
234	1074	3498
235	1078	3492
236	1082	3484
237	1086	3479
238	1091	3474
239	1095	3468
240	1099	3463
241	1105	3461
242	1108	3453
243	1112	3445
244	1115	3437
245	1120	3433
